conv_id,turn_no,conv_type,speaker,text,emotion,empathy,politeness
4,18,high_005,T,and what what promise you to pick a five or six,,highly empathetic,impolite
4,19,high_005,C,I just like been tried to lose weight before and those things certainly have failed as I still I'm the same way,sad,,
4,20,high_005,T,okay,,non empathetic,low polite
4,21,high_005,C,that's what really only leaves me at five or six,afraid,,
4,22,high_005,T,okay so what can we do to get you at say like a nine or ten level of confidence,,low empathetic,low polite
4,23,high_005,C,I think I would be more confident if I understood like how do you use some of the gym equipment a little bit more so it's not something that I feel really comfortable doing I just don't I know feel very confident when I'm in there except to use the bike and there are elliptical so some of that could be I would really like to do some strength training but I just don't know how,afraid,,
4,24,high_005,T,okay that sounds really interesting,,non empathetic,low polite
5,0,high_006,T,hi Andrea thanks for coming in,,highly empathetic,highly polite
5,1,high_006,C,thank you,grateful,,
5,2,high_006,T,so I don't know how much you know already about sort of my role here and why you're even here so I thought I'd start by telling you a little bit about myself basically my job is to meet with all of the students I meet with everybody about once or twice a semester and just talk with you a little bit about how things are going different behaviors that you might be engaging in and thinking about any changes you might want to make for your life if you decide that you do it's not my job to change you I couldn't even if I wanted to that's not my role at all it's really to help you think about you know how things are going for you and how you might like making changes or moving forward that sound okay all right so why don't we start by you telling me a little bit about yourself,,highly empathetic,highly polite
5,3,high_006,C,sure um as you know I'm Andrea I uh I'm a junior I'm in the marching band I played at center sacks I mean yeah I'm also in the little bit of a band geek I play you know the Wind Ensemble and the Jazz Band things like that,confident,,
5,4,high_006,T,wow you really are involved in music,,highly empathetic,low polite
5,5,high_006,C,yeah,afraid,,
5,6,high_006,T,when did you start,,non empathetic,impolite
5,7,high_006,C,I started playing about 10 years ago actually,confident,,
5,8,high_006,T,Wow,,highly empathetic,low polite
5,9,high_006,C,yeah I start on the violin first and then I went on explored a little with the piano clarinet finally found the tenor sax hmm yeah,confident,,
5,10,high_006,T,very cool I've always wanted to be good at music all right so it sounds like you're in band and a few other musical ensembles any other hobbies you have or things you like to do for fun,,highly empathetic,highly polite
5,11,high_006,C,um you know just hanging out with my friends or go to the beach things like that,content,,
5,12,high_006,T,it's kind of everyday sort of thing okay tell me a little bit about your family,,highly empathetic,low polite
5,13,high_006,C,uh well I have one older brother he's about eight and a half old years older than me my parents and I have dog,sad,,
5,14,high_006,T,cute what kind of dogs,,highly empathetic,impolite
5,15,high_006,C,the golden retriever,sentimental,,
5,16,high_006,T,oh nice,,highly empathetic,low polite
5,17,high_006,C,I'm a big boy,confident,,
5,18,high_006,T,very fun all right and how are things going in school for you,,highly empathetic,low polite
5,19,high_006,C,pretty good grades have been pretty all right still like 3.7 ish,content,,
5,20,high_006,T,okay great so you're doing well what sorts of goals do you have for after college or after high school,,highly empathetic,highly polite
5,21,high_006,C,I'd like to you know I'd like to of course graduate high school hopefully go to a nice Ivy League school or I mean that might not happen and then I'd like to go on become a doctor study psychology you need to come a psychiatrist or something,hopeful,,
5,22,high_006,T,okay you have some pretty big dreams,,highly empathetic,low polite
5,23,high_006,C,yeah,afraid,,
5,24,high_006,T,it's great that's really exciting to think about that and he's going to be looking forward to the future and those things all right well one thing I'm going to ask you about is um you know different people have sort of different things that they really value in their life whether it's you know their cultural identity or their family or their friends or job or hobbies things like that so here's a little sheet that goes through just some basic values that might be more or less important to certain people like belonging or sense of community again cultural identity or family friendship modesty religion respect self-determination and spirituality so when you think about yourself which of these are kind of most important to you in terms of your life,,highly empathetic,highly polite
5,25,high_006,C,um I think a sense of community and belonging,sentimental,,
5,26,high_006,T,okay,,non empathetic,low polite
5,27,high_006,C,I think those two and um respect respect,trusting,,
5,28,high_006,T,okay can you tell me a little bit about why you picked those three,,non empathetic,low polite
5,29,high_006,C,yeah well I think the community belonging I kind of related them um you know how I said I was in the marching band I really you know I really enjoyed being in like that team setting of you know being with other people and all working to work together towards that one goal,trusting,,
5,30,high_006,T,mm-hmm,,non empathetic,impolite
5,31,high_006,C,and then in terms of respect I I kind of view that as one of like my major like rules like I I really do think respect is important to respect myself or respect those around me so,trusting,,
5,32,high_006,T,okay,,non empathetic,low polite
5,33,high_006,C,I place great importance in that,trusting,,
5,34,high_006,T,okay great so sort of being a part of a group and being a part of a team gives you a sense of belonging like you said a sense of purpose anyway and then the respect is really sort of all-encompassing it's not just Authority but respecting yourself respecting your teammates or your bandmates and other people around you okay that's great all right well one of the things I want to talk to you about sort of relates to belonging and your friends so what kinds of things do you like to do when you get together with your friends,,highly empathetic,highly polite
5,35,high_006,C,um sometimes if you just you know go to the movies go to the beach like I had said or sometimes we just get together someone's house play some board games and hang out,content,,
5,36,high_006,T,mm-hmm and when you're hanging out with friends is there ever alcohol involved,,low empathetic,low polite
5,37,high_006,C,yeah sometimes,angry,,
5,38,high_006,T,okay can you tell me a little bit about how alcohol fits into sort of your social scene,,non empathetic,low polite
5,39,high_006,C,uh well it's mostly just for for parties or party settings it's kind of to get things going and got everything loosened up as they say,confident,,
5,40,high_006,T,mm-hmm and so when you go to parties most of the time there's alcohol there okay and how often do you think you would say you're drinking,,low empathetic,low polite
5,41,high_006,C,I'd say um on a not busy month for instance I'd say about like two weekends out of the month two three,angry,,
5,42,high_006,T,mm-hmm so about half the time you're drinking and half the time you're not can you tell me what's different about the days when you choose to drink versus not to drink,,highly empathetic,highly polite
5,43,high_006,C,the days that we drink are mostly like I said they're parties so it's more of that whole partying and dancing and you know having everyone have fun and then when we don't it's a lot more relaxed it's a lot more hanging out playing board games watching a movie it's not yeah,content,,
5,44,high_006,T,so it really depends on what the activity is whether or not alcohols get,,non empathetic,low polite
5,45,high_006,C,definitely,confident,,
5,46,high_006,T,okay and do you notice a big difference or can you tell me about the difference in your enjoyment level at say a party versus and that you're playing board games,,highly empathetic,highly polite
5,47,high_006,C,I think of them as as different I think you know like in playing board games and things it's meant to be relaxing so it's nice to have like that kind of breather versus with a party it's a lot more energetic it's a after at all it's very draining,content,,
5,48,high_006,T,mm-hmm,,non empathetic,impolite
5,49,high_006,C,but in the moment it's quite fun to dance and have,content,,
5,50,high_006,T,okay so there's sort of pros and cons,,non empathetic,low polite
5,51,high_006,C,oh yeah,surprised,,
5,52,high_006,T,okay what are the things that you like about drinking or like about alcohol,,non empathetic,low polite
5,53,high_006,C,um it's you know when we drink we we tend to have more fun because I guess we're not you know everyone's drinking together we're a lot more loosened up and relaxed and not really thinking about stresses or things like that but it can be when it's too much drinking it can be can be obviously bad,content,,
5,54,high_006,T,okay so sort of in the the too much drinking or our times can you tell me some of the less good things or not so good things about alcohol,,non empathetic,highly polite
5,55,high_006,C,um a lot of times it will make make people stupid yeah you know people make dumb decisions and things like that we we usually try to be as safe about it as possible so like sleepover friends house and so you know we're not driving and it's mostly within our friend group so we're not worried about strangers putting weird things in our drinks but um definitely some of the ideas people can have when they're stupid when they're drunk can can be really stupid,afraid,,
5,56,high_006,T,hmm so you're trying to like you said not engage in really dangerous activities you're trying to stay put you're not driving you're trying to stay with people that you trust but yet it sounds like there's still some some things happening,,highly empathetic,highly polite
5,57,high_006,C,sometimes yeah,sad,,
5,58,high_006,T,can you tell me a little bit about that,,non empathetic,low polite
5,59,high_006,C,well I especially don't like it whenever me or one of my friends like we drink too much and we hadn't up like throwing up and things like that that I don't that's not fun,angry,,
5,60,high_006,T,yeah throwing up is never fun it's not and how often do you think that happened,,non empathetic,low polite
5,61,high_006,C,for me that's happened to me once it was the first time I ever drank and it was it was a lot and you know what I was doing I was mixing all kinds of weird things I'm just kind of taking anything ever anyone gave me and that didn't end well but after that I have it but I do have friends that that still do sometimes so I'll end up like having to take care of them or something and,sad,,
5,62,high_006,T,okay,,non empathetic,low polite
5,63,high_006,C,it kind of put it down around my my fun,sad,,
5,64,high_006,T,huh okay so on the one side some of the fun things associated with alcohol are people are just more relaxed sort of carefree and kind of let loose a little bit more on the other hand there's a little bit more I guess planning involved because you have to make sure that you're doing it safely or as safe as you can and then there can be some other consequences like throwing up or even if it's not you that sometimes you're stuck your your fun is sort of ruined when you're stuck dealing with a friend you drink too much okay any other not-so-good things about the alcohol,,low empathetic,highly polite
5,65,high_006,C,yeah people can get a little like sloppy I guess like they're all loose like with people and corners doing things that should be done in private and that kind of stuff,sad,,
5,66,high_006,T,so you're kind of stuck being exposed to things you don't mean busy,,non empathetic,low polite
5,67,high_006,C,yeah,afraid,,
5,68,high_006,T,got it okay all right well you mentioned a couple times that you've made a few decisions to try and limit the a dangerous aspect of the drinking why did you make those decisions,,low empathetic,low polite
5,69,high_006,C,I just I you know have an aunt who is an alcoholic so I I see like the issues that are involved and I've seen movies and things I know that drunk driving is an issue so I you know I want to be as safe as possible in those terms and be in a setting where like we can let loose but still be safe like I someone's house or someone's parents home or something but so I like I know that there are dangers involved and I guess I want to limit that and still be able to have fun,afraid,,
5,70,high_006,T,okay yeah it sounds kind of similar to your your value of respect too so on the one hand you the drinking maybe helps with the belonging community to start if there's too much then,,highly empathetic,highly polite
5,71,high_006,C,it sort of defeats the purpose,sad,,
5,72,high_006,T,right and then with the respect one of the things you mentioned is really wanting to respect yourself and not sort of cross boundaries not sort of cross lines how do you think that the drinking fits in with that,,highly empathetic,highly polite
5,73,high_006,C,in terms of what in terms of respect I think well in a way I do think that drinking is probably a form of disrespect to my own body because I'm not putting things I'm putting things in it that shouldn't be there and then but in terms of hot ways I am respecting myself I am I'm respecting myself by like trying to stay in someone's house and like trying to limit my drinking so I don't get to that blacked out like throwing up and everything and try to you know let loose but still be in control of my behavior so I'm not going to go with some random person I met in - I don't know where to do I don't know what and things like that,trusting,,
5,74,high_006,T,okay so you're sort of looking for that balance yeah how much you can drink to have some of the positive benefit but about crossover okay and what have you come up with it at this point do you have sort of a limit that you stick to or,,non empathetic,low polite
5,75,high_006,C,usually well I start off by make sure that I make my own drink so I know what's in it how much is in it so that way I control how much I drink so I'll usually just you know get one of those cups and then make one drink and then I'll try to make it last as long as possible and I'll be like all right this is my one drink and I'm good in that way I still have something in my cup some people aren't going to be like oh here have some more like no I'm good I have mine and I'll still be you know having some to like let loose a little,confident,,
5,76,high_006,T,mm-hmm and do you feel like that's working pretty well for you or you sometimes exceed that limit or or what do you think,,low empathetic,low polite
5,77,high_006,C,for the most part it works pretty well because like I said people you know people come asking me trying to pressure me I'll be like no I'm good I have you know I still have so I'm like I'll get some later and then never end up getting anything but sometimes they'll be like hey let's take a shot and everyone's got it around like the kitchen or something ready to take a shot and then at that point I'll be like oh well maybe I can take one more and that's when I start you know falling into,confident,,
5,78,high_006,T,okay,,non empathetic,low polite
5,79,high_006,C,too much,sad,,
5,80,high_006,T,so a portion of the time it's working well for you and another portion of the time maybe you like,,low empathetic,low polite
5,81,high_006,C,I'd,sad,,
5,82,high_006,T,like to make some adjustments to to make it a little smoother okay so kind of thinking along those lines how important is it to you to make some changes or make some adjustments to your drinking to sort of fit with your values and your goals for yourself,,highly empathetic,highly polite
5,83,high_006,C,um I'd like to make sure that I you know in terms of respecting myself of my body I'd like to you know try to drink less,trusting,,
5,84,high_006,T,okay,,non empathetic,low polite
5,85,high_006,T,like I you know it is nice to let loose and have fun but I'd also like it to be so you know I'm not damaging my body and I like my liver doesn't work by the time I'm like 22,,non empathetic,highly polite
5,86,high_006,T,mm-hmm,,non empathetic,impolite
5,87,high_006,C,and um you know have my friends on board with a similar mentality so we can kind of work at it together as a group as a community,trusting,,
5,88,high_006,T,uh-huh so kind of combined he has goals okay so you're you have a goal it sounds like of actually cutting back on your drinking how important is it to you to work on that goal on on the scale of one to ten where one is not at all important antennas it's the most important thing right now,,highly empathetic,low polite
5,89,high_006,C,I'd say about like like a six or a seven oh I like to work on it but you know if I get around to it I get around to if I don't I don't,hopeful,,
5,90,high_006,T,uh-huh well why did you say six or seven rather than like a four,,low empathetic,low polite
5,91,high_006,C,um because I still think it's it's important,hopeful,,
5,92,high_006,T,uh-huh,,non empathetic,impolite
5,93,high_006,C,I still you know like I said I don't want my body tried specially going to my school like I know how things affect your body and also affect your your social and your schoolwork and things like that I know that once I get to college it's not it's not gonna gonna work out being you know drinking every weekend and I'm like trying to wake up early and go to school take an exam I know that's not that's not feasible it's not a good idea,afraid,,
5,94,high_006,T,yeah looking ahead you can't keep drinking this way and reach the goals that you have for years now okay well how confident are you that you could cut down if you wanted to,,low empathetic,highly polite
5,95,high_006,C,I think,hopeful,,
5,96,high_006,T,on that same scale from one to ten,,highly empathetic,impolite
5,97,high_006,C,I think if I made the decision I was going to for sure then I think definitely like a ten I know I,confident,,
5,98,high_006,T,oh wow okay why did you say ten,,low empathetic,low polite
5,99,high_006,C,it's just because I know that once I make the decision I know I can making the decision in the first place okay weather,confident,,
5,100,high_006,T,okay and so you mentioned you know quite a few reasons why you would like to cut down have you thought at all about how you might go about doing that,,highly empathetic,highly polite
5,101,high_006,C,um I'm thinking of maybe like trying to convince my friends without sounding you know dorky or something be like hey you know let's just stay in today like let's not go out or something or just be like hey I'm not like I'm not going to drink today and even if my friends do like being okay with them drinking around me not doing it and then then being okay with me drinking me not drinking and them doing whatever they want,trusting,,
5,102,high_006,T,so sort of trying to plan more activities that don't involve alcohol and then also trying to participate in activities without drinking yourself or maybe even drinking less than you're drinking okay does that sound like a goal you want to work on now or,,highly empathetic,low polite
5,103,high_006,C,I think so I think it's it's very feasible I think it's possible,hopeful,,
5,104,high_006,T,okay um so I guess we'll talk about less alcohol activities and just making some notes to myself and then maybe I'm reducing the amount of drinking that you're doing if alcohol is involved okay so that's that goal sounds feasible you said would it be okay if we met in a couple weeks to sort of see how it's going,,highly empathetic,highly polite
5,105,high_006,C,I think so that's good,hopeful,,
5,106,high_006,T,does that sound like something you'd like to do okay well I really appreciate you spending the time talking to me and you know it sounds like you have a lot of really good goals for yourself really ambitious goals and going to medical school and you know becoming a psychiatrist or some some other form of physician you're really looking forward to doing well in school so you can get there and it sounds like you have a pretty active social life and a lot of friends who you feel probably would be supportive even if you cut down on alcohol and that you know there's a lot of benefits you see both to your body and your health you school performance and even some of the social stuff in terms of feeling a sense of belonging without having to deal with some of the gross consequences of drinking too much so yeah you know it really sounds to me like you have a good plan in place and as long as you're willing and interested in meeting again and be very excited to be able to talk with you about how it's going,,highly empathetic,highly polite
5,107,high_006,C,I'd like to,hopeful,,
5,108,high_006,T,alright great so I'll plan to see you then in a few more weeks,,highly empathetic,highly polite
5,109,high_006,C,Thanks,grateful,,
6,0,high_007,T,hi Lucy nice to see you today how you been going,,highly empathetic,highly polite
6,1,high_007,C,yeah well thanks,grateful,,
6,2,high_007,T,great I'm just fully get started has anything changed with your medical history since I last saw you like any new medications or serious operations,,non empathetic,highly polite
6,3,high_007,C,No,angry,,
6,4,high_007,T,great and is anything maybe worrying you about your teeth or your gums today,,non empathetic,highly polite
6,5,high_007,C,I think I might have a hole in my tooth,afraid,,
6,6,high_007,T,oh no what makes you say that,,non empathetic,low polite
6,7,high_007,C,I can feel it with my tongue and it's a bit sensitive,afraid,,
6,8,high_007,T,mmm well let's lie you back I'll pop some gloves on and we'll have a little look Lucy it definitely looks like you need a filling um I'd love to help you figure out why you've got this new hole in your tooth do you mind if I ask you a few questions so we can try and figure it out,,highly empathetic,highly polite
6,9,high_007,C,Yeah of course,sad,,
6,10,high_007,T,great well here's a risk assessment form it's just a few questions that might help us figure out what the problem might be,,highly empathetic,highly polite
6,11,high_007,T,great yeah it says here that you're drinking soft drinks in between meals what do you know about the effect of soft drinks on your teeth,,non empathetic,highly polite
6,12,high_007,C,I know it's not good for them,sad,,
6,13,high_007,T,that's right um the bacteria in your mouth can use the soft drink to create acid that eats into the tooth surface and causes the holes the more that your teeth are coated in the sugar the more likely it is that you'll develop a hole did you know the one can of soft drink can have 10 teaspoons of sugar in it,,non empathetic,highly polite
6,14,high_007,C,I didn't know that so I shouldn't have soft drinks at all I'm not sure I could do that,sad,,
6,15,high_007,T,yeah I understand it does sound like you're worried about getting holes in your teeth though there are a few options that you can do to help improve how you consume sugar would you like to hear about those,,highly empathetic,highly polite
6,16,high_007,C,well I don't like getting feelings so that would be great,hopeful,,
6,17,high_007,T,yeah probably drinking soft drink you could try drinking it all in one go instead of sipping on it or you could try drinking just at mealtimes instead of in between meals so does either of those sound like they might work for you,,highly empathetic,highly polite
6,18,high_007,C,yeah I mainly sort of drink soft drinks in between meals though maybe I could just have them with lunch and dinner,sad,,
6,19,high_007,T,great I'm in Romania to get a break from the sugar I sort of on a scale of 1 to 10 with 10 being the most how motivated do you feel you are to make this change,,highly empathetic,highly polite
6,20,high_007,C,I don't like getting feelings so an 8 or a 9,afraid,,
6,21,high_007,T,great and you maybe have any ideas that you could implement to help you avoid having soft drinks in between meals,,highly empathetic,highly polite
6,22,high_007,C,I could carry a water bottle around with me,confident,,
6,23,high_007,T,great that's a really good strategy and waters great for you too umm you can also try chewing sugar-free gum I mean is that something you're interested in,,highly empathetic,highly polite
6,24,high_007,C,I might give the water bottle a try first,hopeful,,
6,25,high_007,T,okay cool well look I'll put a little note in your file and the next time I see you if it's okay I'll check how you're going with avoiding soft drinks between meals,,highly empathetic,highly polite
6,26,high_007,C,yeah that'd be fun and hopefully I won't have any holes next time,hopeful,,
7,0,high_008,T,so Jane it sounds like you're angry with your supervisor would what would I be right in saying that,,low empathetic,highly polite
7,1,high_008,C,well I think I'm pretty angry,angry,,
