conv_id,turn_no,speaker,utterance,emotion,empathy,politeness
6,5,victim,"After my husband's death , I married someone else . At the time of marriage , he promised to look after my daughter but now he has started showing his real face , bastard . ",sad,,
6,6,counselor,Its disgusting . Have you shared this issue to parents ?,,non empathetic,low polite
6,7,victim,"No , I haven't shared this matter with my parents . I don't want to trouble them . ",trusting,,
6,8,counselor,"Ok , will you please elaborate the issue in detail to assist you specific and better . ",,highly empathetic,highly polite
6,9,victim,That monster has started beating my daughter . He is not fulfilling her basic needs . He is refusing to take the responsibility .,angry,,
6,10,counselor,"Ok thanks for detail , here is the assistance we provide for this : Police Complain , NGOs Help , Women Support Group , SIUCAW Help .  ",,highly empathetic,highly polite
6,11,victim,I would like to file police complain against him .,hopeful,,
6,12,counselor,Ok thanks would you like to go for online/offline and would you please share me your location ?,,highly empathetic,highly polite
6,13,victim,"I would like to file online complain . I live in Belaganj , Bihar . ",hopeful,,
6,14,counselor,Ok thanks for state location . Here is the link for complain : www.biharpolice.gov.in .,,highly empathetic,highly polite
6,15,victim,Thanks for the information .,grateful,,
6,16,counselor,Do you need some other assistance ?,,non empathetic,low polite
6,17,victim,Can you please tell me more about this online complain facility ?,afraid,,
6,18,counselor,"Yes sure , visit the link and fill the form . You will receive the acknowledgement within 48 hours . ",,low empathetic,low polite
6,19,victim,Thank you again .,grateful,,
6,20,counselor,Do you need some other assistance ?,,non empathetic,low polite
6,21,victim,"No , thanks . ",sad,,
6,22,counselor,Ok take care . Have a great day .,,low empathetic,highly polite
7,0,counselor,"Greetings , this is Rakshak a bot to help you in secure environment . ",,low empathetic,highly polite
7,1,victim,"Hello Rakshak , I am looking for help for my daughter .   ",hopeful,,
7,2,counselor,"Ok sure , May i know to whom i am interacting with ? ",,non empathetic,low polite
7,3,victim,"I am Supriya Singh , 32 years old . ",confident,,
7,4,counselor,"Hi Supriya , please share me your problem in detail ?  ",,non empathetic,highly polite
7,5,victim,"After my husband's death , I married someone else . At the time of marriage , he promised to look after my daughter but now he has started showing his real face , bastard . ",sad,,
7,6,counselor,Its disgusting . Have you shared this issue to parents ?,,non empathetic,low polite
7,7,victim,"No , I haven't shared this matter with my parents . I don't want to trouble them . ",trusting,,
7,8,counselor,"Ok , will you please elaborate the issue in detail to assist you specific and better . ",,highly empathetic,highly polite
7,9,victim,That monster has started beating my daughter . He is not fulfilling her basic needs . He is refusing to take the responsibility .,angry,,
7,10,counselor,"Ok thanks for detail , here is the assistance we provide for this : Police Complain , NGOs Help , Women Support Group , SIUCAW Help .  ",,highly empathetic,highly polite
7,11,victim,I would like to go for NGOs Help .,hopeful,,
7,12,counselor,"Yes sure , please share me your location . ",,highly empathetic,highly polite
7,13,victim,"I live in Saharsa , Bihar - 823002 . ",content,,
7,14,counselor,"Ok thanks for location . Here is the NGOs detail : Mahila Suraksha , Mallika Gupta 98547##### .   ",,highly empathetic,highly polite
7,15,victim,Thanks .,grateful,,
7,16,counselor,Do you need some other help ?,,non empathetic,low polite
7,17,victim,How far it is from my location ?,afraid,,
7,18,counselor,"Yes , its 1.2 KM away from my location ? ",,non empathetic,low polite
7,19,victim,Thanks once again .,grateful,,
7,20,counselor,Do you need some other help ?,,non empathetic,low polite
7,21,victim,"No , Bye  ",sad,,
7,22,counselor,Ok take care . Have a great day .,,low empathetic,highly polite
8,0,counselor,"Greetings , this is Rakshak a bot to help you in secure environment . ",,low empathetic,highly polite
8,1,victim,"Hello Rakshak , I am looking for help for my daughter .   ",hopeful,,
8,2,counselor,"Ok sure , May i know to whom i am interacting with ? ",,non empathetic,low polite
8,3,victim,"I am Supriya Singh , 32 years old . ",confident,,
8,4,counselor,"Hi Supriya , please share me your problem in detail ?  ",,non empathetic,highly polite
8,5,victim,"After my husband's death , I married someone else . At the time of marriage , he promised to look after my daughter but now he has started showing his real face , bastard . ",sad,,
8,6,counselor,Its disgusting . Have you shared this issue to parents ?,,non empathetic,low polite
8,7,victim,"No , I haven't shared this matter with my parents . I don't want to trouble them . ",trusting,,
8,8,counselor,"Ok , will you please elaborate the issue in detail to assist you specific and better . ",,highly empathetic,highly polite
8,9,victim,That monster has started beating my daughter . He is not fulfilling her basic needs . He is refusing to take the responsibility .,angry,,
8,10,counselor,"Ok thanks for detail , here is the assistance we provide for this : Police Complain , NGOs Help , Women Support Group , SIUCAW Help .  ",,highly empathetic,highly polite
8,11,victim,Can you please tell me is there any Women Support Group who can help me ?,hopeful,,
8,12,counselor,"Yes sure , Please share me your current residence detail ? ",,non empathetic,low polite
8,13,victim,"I live in Baliya , Bihar - 897653 ",content,,
8,14,counselor,"Ok thanks for detail . Here is the information : Mahila Mukti Sadan , Minakshi Lekhi 98589##### . ",,highly empathetic,highly polite
8,15,victim,Thanks for the details .,grateful,,
8,16,counselor,Do you need some other help ?,,non empathetic,low polite
8,17,victim,"No , thanks . ",sad,,
8,18,counselor,Ok take care . Have a great day .,,low empathetic,highly polite
9,0,counselor,"Greetings , this is Rakshak a bot to help you in secure environment . ",,low empathetic,highly polite
9,1,victim,"Hello Rakshak , I am looking for help for my daughter .   ",hopeful,,
9,2,counselor,"Ok sure , May i know to whom i am interacting with ? ",,non empathetic,low polite
9,3,victim,"I am Supriya Singh , 32 years old . ",confident,,
9,4,counselor,"Hi Supriya , please share me your problem in detail ?  ",,non empathetic,highly polite
9,5,victim,"After my husband's death , I married someone else . At the time of marriage , he promised to look after my daughter but now he has started showing his real face , bastard . ",sad,,
9,6,counselor,Its disgusting . Have you shared this issue to parents ?,,non empathetic,low polite
9,7,victim,"No , I haven't shared this matter with my parents . I don't want to trouble them . ",trusting,,
9,8,counselor,"Ok , will you please elaborate the issue in detail to assist you specific and better . ",,highly empathetic,highly polite
9,9,victim,That monster has started beating my daughter . He is not fulfilling her basic needs . He is refusing to take the responsibility .,angry,,
9,10,counselor,"Ok thanks for detail , here is the assistance we provide for this : Police Complain , NGOs Help , Women Support Group , SIUCAW Help .  ",,highly empathetic,highly polite
9,11,victim,I want to go for SIUCAW help .,hopeful,,
9,12,counselor,"Yes sure , Please share me your location ? ",,highly empathetic,low polite
9,13,victim,"I live in Darbhanga , Bihar - 823005 ",content,,
9,14,counselor,Ok thanks for details . Here is the online link for complain : www.biharsiucaw.gov.in .,,non empathetic,highly polite
9,15,victim,Thanks for this help .,grateful,,
9,16,counselor,Do you need some other assistance ?,,non empathetic,low polite
9,17,victim,"No , that's all . ",content,,
9,18,counselor,Ok take care . Have a great day .,,low empathetic,highly polite
10,0,counselor,"Greetings , this is Rakshak a bot to help you in secure environment . ",,low empathetic,highly polite
10,1,victim,"Hello Rakshak , I am looking for help for my daughter .   ",hopeful,,
10,2,counselor,"Ok sure , May i know to whom i am interacting with ? ",,non empathetic,low polite
10,3,victim,"I am Supriya Singh , 32 years old . ",confident,,
10,4,counselor,"Hi Supriya , please share me your problem in detail ?  ",,non empathetic,highly polite
10,5,victim,"After my husband's death , I married someone else . At the time of marriage , he promised to look after my daughter but now he has started showing his real face , bastard . ",sad,,
10,6,counselor,Its disgusting . Have you shared this issue to parents ?,,non empathetic,low polite
10,7,victim,"No , I haven't shared this matter with my parents . I don't want to trouble them . ",trusting,,
10,8,counselor,"Ok , will you please elaborate the issue in detail to assist you specific and better . ",,highly empathetic,highly polite
10,9,victim,That monster has started beating my daughter . He is not fulfilling her basic needs . He is refusing to take the responsibility .,angry,,
10,10,counselor,"Ok thanks for detail , here is the assistance we provide for this : Police Complain , NGOs Help , Women Support Group , SIUCAW Help .  ",,highly empathetic,highly polite
10,11,victim,I would like to file police complain against him .,hopeful,,
10,12,counselor,"Ok thanks , would you like to go for online/offline ? ",,highly empathetic,highly polite
10,13,victim,"I would like to file offline complain . Is there any police station near Belaganj , Bihar ? ",afraid,,
10,14,counselor,"Ok sure , please share me your current location ? ",,highly empathetic,highly polite
10,15,victim,"I live in Belaganj , Bihar - 823001 ",content,,
10,16,counselor,"Ok thanks . Here is the details of police station : Belaganj Police Station , M.K Khan , 98578##### .  ",,highly empathetic,highly polite
10,17,victim,Thanks for the information about police station .,grateful,,
10,18,counselor,Do you need some other help ?,,non empathetic,low polite
10,19,victim,"No , thanks . ",sad,,
10,20,counselor,Ok take care . Have a great day .,,low empathetic,highly polite
11,0,counselor,Good evening from Rakshak ! How may I help you today ?,,low empathetic,highly polite
11,1,victim,I need help .,afraid,,
11,2,counselor,I will surely help you . May I know whom am I interacting with ?,,low empathetic,highly polite
11,3,victim,I am Rishika of 16 .,sad,,
11,4,counselor,"Hello Rishika , kindly tell me your problem . ",,highly empathetic,highly polite
11,5,victim,I want to complain in police for lodging FIR about my harassment case .,angry,,
11,6,counselor,Harassment is such a bad thing . Could you please tell me whether you know the accused or not ?,,low empathetic,highly polite
11,7,victim,"Yes , i know that bastard .  ",confident,,
11,8,counselor,Kindly elaborate your problem so that I can assit you better .,,non empathetic,low polite
11,9,victim,"Its was last friday , i was returning from my college and 2 person were hidden in a near side of the road . They came and sat me on the bike . They took me to lonely place and beaten me with the belt and threatened me not to disclosed to police that what had happened with seema , one of my friend .  ",afraid,,
11,10,counselor,"This is disgusting . You can opt for the following assistance in this case : Police Complain , Women Support Group Help , NGOs Help , Legal Help , Medical Assistance , Counseling . Please let me know any of the above mentioned assistance you want to opt .   ",,non empathetic,highly polite
11,11,victim,"Ok , i would like to opt for police complain . ",hopeful,,
11,12,counselor,"Sure Rishika , would you like to file online/offline complain ? ",,low empathetic,highly polite
11,13,victim,I would like to go for offline complain .,hopeful,,
11,14,counselor,Could you please help me with your location ?,,highly empathetic,highly polite
11,15,victim,"Its , Babaghat Mau , Uttar Pradesh , 547858 .  ",afraid,,
11,16,counselor,"Please do visit Babaghat Police Station for registering your complain . Address : Babaghat Police Station , Babaghat Mau , Uttar Pradesh - 547858 . Contact No. : 623-22334455 .  ",,non empathetic,highly polite
11,17,victim,Please provide me the in-charge details of police station ?,afraid,,
11,18,counselor,"Present station in-charge is Mr. Pratik Singh , SP , Babaghat Police Station . Whatsapp No. : 9876543210  ",,low empathetic,low polite
11,19,victim,"Ok , thanks .  ",grateful,,
11,20,counselor,May I help you with anything else ?,,highly empathetic,highly polite
11,21,victim,"No , thanks a lot . ",grateful,,
11,22,counselor,Thanks for choosing Rakshak for your help . It's always great to help you .,,highly empathetic,highly polite
12,0,counselor,Greetings from Rakshak . How may I assist you today ?,,highly empathetic,highly polite
12,1,victim,My dad has gone demon . Please save me from him .,hopeful,,
12,2,counselor,"Please be calm , I will help you . May I know whom I am talking to ? ",,highly empathetic,highly polite
12,3,victim,I am Ramya of 17 .,surprised,,
12,4,counselor,"Hello Ramya , please have some patience and kindly elaborate your problem . ",,non empathetic,highly polite
12,5,victim,"Hi , My dad got married 18 years ago and he always tortured my mom for everything . last night he brought a cracker and my mom is injured . That fucking moron tried to kill my  mom and threatened me not to speak anything otherwise he will kill me . ",angry,,
12,6,counselor,"This is shocking and unacceptable . Well Ramya , you can go for following assistance in this matter : Police Complain , Women Support Group , NGOs Help , SIUCAW , Legal Help  ",,non empathetic,highly polite
12,7,victim,Ok thanks for info . I would like to go for Police Complain .,hopeful,,
12,8,counselor,"Ok sure , please tell me would you like to file online/offline police complain ? ",,highly empathetic,highly polite
12,9,victim,I would opt for online first .,afraid,,
12,10,counselor,"Okay sure , please do visit the national portal for crime against women and children at www.nationalwomenhelp.gov.in for registering your complain . ",,highly empathetic,low polite
12,11,victim,Ok thanks for link .,grateful,,
12,12,counselor,Do you need some other assistance ?,,non empathetic,low polite
12,13,victim,Ok how much time it will take for response ?,afraid,,
12,14,counselor,Your complain will be submitted immediately and you will get the response within 24 hours .,,low empathetic,low polite
12,15,victim,Ok thanks .,grateful,,
12,16,counselor,May I help you with anything else ?,,highly empathetic,highly polite
12,17,victim,No thanks . Bye .,sad,,
12,18,counselor,Please take care and have a nice day !,,highly empathetic,highly polite
13,0,counselor,Greetings from Rakshak . How may I assist you today ?,,highly empathetic,highly polite
13,1,victim,My dad has gone demon . Please save me from him .,hopeful,,
13,2,counselor,"Please be calm , I will help you . May I know whom I am talking to ? ",,highly empathetic,highly polite
13,3,victim,I am Ramya of 17 .,surprised,,
13,4,counselor,"Hello Ramya , please have some patience and kindly elaborate your problem . ",,non empathetic,highly polite
13,5,victim,"Hi , My dad got married 18 years ago and he always tortured my mom for everything . last night he brought a cracker and my mom is injured . That fucking moron tried to kill my  mom and threatened me not to speak anything otherwise he will kill me . ",angry,,
13,6,counselor,"This is shocking and unacceptable . Well Ramya , you can go for following assistance in this matter : Police Complain , Women Support Group , NGOs Help , SIUCAW , Legal Help  ",,non empathetic,highly polite
13,7,victim,I would like to go for NGOs help .,hopeful,,
13,8,counselor,Could you please share your location so that I can locate near by NGOs for you ?,,highly empathetic,highly polite
13,9,victim,"Yes , Its Hajaribag Lucknow , UP . 985787 ",surprised,,
13,10,counselor,"Thanks for the location details . Please pay a visit to Hajaribagh Police Station , Hajaribagh , Lucknow - 987654 , UP for seeking help . ",,highly empathetic,highly polite
13,11,victim,Ok thanks for location .,grateful,,
13,12,counselor,Do you need some other assistance ?,,non empathetic,low polite
13,13,victim,"Yes , How far its from my location ? ",afraid,,
13,14,counselor,It is about 2.5 km from your location .,,non empathetic,impolite
13,15,victim,Ok thanks for your prominent help .,grateful,,
13,16,counselor,May I help you with anything else ?,,highly empathetic,highly polite
13,17,victim,No thanks . Bye .,sad,,
13,18,counselor,We hope this will serve your purpose . Take care and have a nice day !,,highly empathetic,highly polite
14,0,counselor,Greetings from Rakshak . How may I assist you today ?,,highly empathetic,highly polite
14,1,victim,My dad has gone demon . Please save me from him .,hopeful,,
14,2,counselor,"Please be calm , I will help you . May I know whom I am talking to ? ",,highly empathetic,highly polite
14,3,victim,I am Ramya of 17 .,surprised,,
14,4,counselor,"Hello Ramya , please have some patience and kindly elaborate your problem . ",,non empathetic,highly polite
14,5,victim,"Hi , My dad got married 18 years ago and he always tortured my mom for everything . last night he brought a cracker and my mom is injured . That fucking moron tried to kill my  mom and threatened me not to speak anything otherwise he will kill me . ",angry,,
14,6,counselor,"This is shocking and unacceptable . Well Ramya , you can go for following assistance in this matter : Police Complain , Women Support Group , NGOs Help , SIUCAW , Legal Help  ",,non empathetic,highly polite
14,7,victim,I would like to go for Women Support Group .,hopeful,,
14,8,counselor,"Okay sure , kindly help me with your location . ",,highly empathetic,highly polite
14,9,victim,"Ok its Mohana Road , Meena Bazar , Lucknow , UP 985788  ",afraid,,
14,10,counselor,"Thanks for the location . You can contact Ms. Suhasini Sinha , Head , Women Power Group , near Meena Bazar , Lucknow , UP 985788  ",,highly empathetic,highly polite
14,11,victim,Ok thanks for details .,grateful,,
14,12,counselor,Is there anything else you need ?,,non empathetic,low polite
14,13,victim,Please share me the working hours of this group ?,afraid,,
14,14,counselor,Women Power Group's working hour is 9 AM to 5 PM .,,non empathetic,impolite
14,15,victim,Ok thanks for info .,grateful,,
14,16,counselor,Do you need some other support ?,,non empathetic,low polite
14,17,victim,No thanks . Bye .,sad,,
14,18,counselor,Thanks for visiting Rakshak . Have a nice day !,,highly empathetic,highly polite
15,0,counselor,Greetings from Rakshak . How may I assist you today ?,,highly empathetic,highly polite
15,1,victim,My dad has gone demon . Please save me from him .,hopeful,,
15,2,counselor,"Please be calm , I will help you . May I know whom I am talking to ? ",,highly empathetic,highly polite
15,3,victim,I am Ramya of 17 .,surprised,,
15,4,counselor,"Hello Ramya , please have some patience and kindly elaborate your problem . ",,non empathetic,highly polite
15,5,victim,"Hi , My dad got married 18 years ago and he always tortured my mom for everything . last night he brought a cracker and my mom is injured . That fucking moron tried to kill my  mom and threatened me not to speak anything otherwise he will kill me . ",angry,,
15,6,counselor,"This is shocking and unacceptable . Well Ramya , you can go for following assistance in this matter : Police Complain , Women Support Group , NGOs Help , SIUCAW , Legal Help  ",,non empathetic,highly polite
15,7,victim,I would like to go for SIUCAW help .,hopeful,,
15,8,counselor,Can you please share your location ?,,low empathetic,highly polite
15,9,victim,"Its Lucknow , UP . ",hopeful,,
15,10,counselor,Thanks for the location . Please do visit the SIUCAW portal at www.sicaw.gov.in/lucknowchapter for reporting this incident to SIUCAW officials .,,highly empathetic,highly polite
15,11,victim,Ok thanks for link .,grateful,,
15,12,counselor,Do you need any other assistance ?,,non empathetic,low polite
15,13,victim,Yes how much time it takes for response ?,angry,,
15,14,counselor,You will get the response within 24 hours of registering complain .,,low empathetic,low polite
15,15,victim,Ok thanks .,grateful,,
15,16,counselor,May I help you with anything else ?,,highly empathetic,highly polite
15,17,victim,No thanks . Bye .,sad,,
15,18,counselor,Thanks for visiting Rakshak . Have a pleasant day !,,highly empathetic,highly polite
16,0,counselor,Greetings from Rakshak . How may I assist you today ?,,highly empathetic,highly polite
16,1,victim,My dad has gone demon . Please save me from him .,hopeful,,
16,2,counselor,"Please be calm , I will help you . May I know whom I am talking to ? ",,highly empathetic,highly polite
16,3,victim,I am Ramya of 17 .,surprised,,
16,4,counselor,"Hello Ramya , please have some patience and kindly elaborate your problem . ",,non empathetic,highly polite
16,5,victim,"Hi , My dad got married 18 years ago and he always tortured my mom for everything . last night he brought a cracker and my mom is injured . That fucking moron tried to kill my  mom and threatened me not to speak anything otherwise he will kill me . ",angry,,
16,6,counselor,"This is shocking and unacceptable . Well Ramya , you can go for following assistance in this matter : Police Complain , Women Support Group , NGOs Help , SIUCAW , Legal Help  ",,non empathetic,highly polite
16,7,victim,Ok thanks for info . I would like to go for Police Complain .,hopeful,,
16,8,counselor,"Ok sure , please tell me would you like to file online/offline police complain ? ",,highly empathetic,highly polite
16,9,victim,I would like to go for offline police complain .,hopeful,,
16,10,counselor,Could you please share your location in order to assist you better ?,,low empathetic,highly polite
16,11,victim,"Yes , its Motinagar , Lucknow , UP 985789 ",afraid,,
